,text,label
0,case thn min sblm pandemi mendanai krn tenor hny bln proses peminjaman dah jalan cek portfolio kaget tenor dah berubah jd bln ada info opsi pembatalan resiko sepenuhnya ada pendana,1.0
1,ada dm gitu ya udah udah tanem investasi ga secepatnya giving them benefit of doubt,1.0
2,tau pengalaman kalo ada udah pakai terima kasih,0.0
3,sudah dm ya silakan dicek,1.0
4,min withdrawal salah masukin norek ganti noreknya gimana ya,0.0
5,tertarik utk invest tks sblmnya,0.0
6,coba invest investree and pluang deh ntar udah coba invest pengen nulis pengalamannya gimana,0.0
7,bisa dicicil mas,0.0
8,awesome stuff adityachintawar,0.0
9,emas bagus pegadaian skrg byk ky gt beli emas digital ada toped ato pegadaian lgsg dana kalo udah nyampe brp gram bisa dicetak,1.0
10,rekomendasi situs terpercaya penyedia platform peer to peer lending amartha investree modalku danamas uang teman danakita akseleran,0.0
11,cek dm ya min,1.0
12,cek dm ya min,1.0
13,akseleran kl aq mah biar nambah trz kl males buka jenius tabung maxi savenya,0.0
14,investasi mending asetku deh return nya menggiurkan tp ada gagal bayar wasalam sih,1.0
15,reserve fund ngecover loan gagal bayar itupun discover maksimal tergantung grade loannya akseleran ga salah maksimal dicover loan gagal bayar,0.0
16,email ya detailnya,1.0
17,the financial technology finance company fintech lending also focuses on providing education to consumers in order to reduce fears of investment services,0.0
18,koingold nya,0.0
19,identifikasi dana tunggal akun terisi ya akun kelengkapan profilnya sisa dokumen terverifikasi alasan trims,1.0
20,cobain main dapet voucher gratisan gak ngerti ya udah skip,0.0
21,privilege being financially educated ga dimiliki mayoritas masyarakat indonesia isinya ga orang jawa jouska muncul rame big alpha investasi milenial sbn meningkat drastis muncul bibit ajaib dll,0.0
22,amartha investree modalku,0.0
23,cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan kebutuhan investasimu genggaman,0.0
24,cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan kebutuhan,0.0
25,cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan kebutuhan,0.0
26,my company has been using financial services it is by far the easiest fastest most flexible loan provider and without collateral perfect for all your business needs and allow any business legality ie pt cv home industry including personal name,0.0
27,thank youu,0.0
28,tolong cek dm ya min thanks,1.0
29,sudah ada perbaikan udah kenyang oh baguslah ya uang lender anggap tumbuhkan pohon ya baguslah bagus kinerja logika neraka iblis dipake ya,0.0
30,kasian deh nyangkut,0.0
31,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0
32,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0
33,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0
34,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0
35,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0
36,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0
37,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya angin sorga tp bau kentut uang,0.0
38,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya agin sorga tp bau kentut uang,0.0
39,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya agin sorga tp bau kentut uang,0.0
40,bullshit uang april mei juni juli nggak ada kejelasan jgn bilang sdh email email mu isinya agin sorga tp bau kentut uang,0.0
41,bedanya,0.0
42,hmm menarik asetku so far nyoba akseleran,0.0
43,kek gitu nih ya,0.0
44,ya foto selfie ktp pending sudah seminggu nih,0.0
45,wkwkwk bibit gitu,0.0
46,in hindsight this is amazing we also offer virtual spaces for those wanting to achieve it come check us out,0.0
47,invest aman ga ya,0.0
48,hai mimin titip salam mark bruny yah bilangin kalo udah available posisi kemarin yach,0.0
49,iya sih ya pengen tawarin bisnis tabungan perdagangan investasi berdagang bilang profit bisa istilah trending jaman bisnis trading aplikasi,0.0
50,rate amburadul sist beli ori masi buka sampe minggu rate maknyus pake sist,0.0
51,engga palingga kasih penawaran asuransi kakak,0.0
52,akes bisa membantu rakyat miskin angkat derajatnya crowd funding spt kitabisa akses permodalan basis online spt sdh molai usaha dg modal paspasan,0.0
53,investree ga man teman kl usaha online tp bunganya tenornya cm th santara bentuknya hrs pt ngubur mimpi lanjutkan idup,0.0
54,setau sih bisa kalo startup funding nya venture capital kayaknya support bisnis bisnis cuss coba,0.0
55,ada sisi borrower lender lender bisa chip in nominalnya interest rate,0.0
56,masukin jenius utangin,0.0
57,ga bisa tidur belanja hadeuh,0.0
58,sedih sih bro pgn untung gede rugi gpp drpda ga samsek nyesel invest bnyk orang,0.0
59,skrg juni ada kejelasan ojkindonesia mediaindonesia mediakonsumenid,1.0
60,tertarik,0.0
61,cons cs cepat penanganan email mention dm bisa teratasi menghabiskan minggu,0.0
62,peminjam membayar jatuh tempo biarkan perannya penagihan pendana cermat mengerti peminjam layak danai,0.0
63,berdasarkan pengalaman investasi platform salah pilihan investasi ada dana anggap deposito jangka pendek bunga,0.0
64,keuntungan koin takut kehilangan dana tips ada sumber dana cash koin koin grade c return tertinggi marketplace ada grade d e jarang ada check out,1.0
65,sudah dm ya min thanks,1.0
66,utk proses verifikasi legal ya sdh pending thx,1.0
67,selamat siang admin tolong cek dm ya,1.0
68,setting aplikasi memunculkan notifikasi ada calon borrowers dgn kriteria,1.0
69,menarique konsep invest,0.0
70,proses verifikasi sudah minggu verifikasi proses gimana percaya investasi platform klu penangan nya lambat,1.0
71,sudah dm min cek ya,1.0
72,dibalas yak min,1.0
73,mohon ditindak lanjuti min voucher beli ga bisa,0.0
74,ada restrukturisasi hutang gaada notifikasi lender ya,0.0
75,terima kasih kak,1.0
76,terima kasih kak,1.0
77,terima kasih kak,1.0
78,halo kak mengajukan perihal sponsorship ya kak,1.0
79,sudah dm min,1.0
80,sudah dm min,1.0
81,rekomendasi om lupa hehe,1.0
82,udah dm min mohon direspon,0.0
83,withdrawal mei failed udah coba website tolong cepat perbaiki,1.0
84,udah kerja tanggal penarikan ni,0.0
85,dibutuhkan penarikan uang,0.0
86,min cek dm bantu ya terima kasih,1.0
87,min dana jatem april koq masuk oasang status dm ga baca,1.0
88,invest uang nya eh ga jatem april sampe ga dikomplen wa robot reply email ga ada balasan ckck,1.0
89,ya pinjaman jatem april sampe bayarkan,1.0
90,min dm tolong baca ya,1.0
91,ive received an email regarding an otp via email but ive never registered w ur website or before would appreciate it if you could remove me from the mailing list,0.0
92,sang peduli ttg bisa perusahaan finansial gemetar krn reputasinya jatuh,0.0
93,tergantung gagal bayar macet lender uangme asetku setau w dijamin dana pokoknya lebi berisiko lending umkm,0.0
94,lo iya beneran hilang udah dianggap penipuan kah,0.0
95,aplikasinya pendanaa ya,1.0
96,hilang playstore,0.0
97,meringankan itikad perusahaan membayarkan thr karyawannya gadjian bekerjasama menawarkan solusi dana talangan thr program nama koin gaji thr,0.0
98,meringankan itikad perusahaan membayarkan thr karyawannya gadjian bekerjasama menawarkan solusi dana talangan thr program nama koin gaji thr,0.0
99,oke sudah dm ya min mohon bantuannya terima kasih,1.0
100,heleh loan kw bnyk ga perform ajaib bgt ada gitu ksp bogor bisa dapet pinjeman kw bayar cicilan ngilang ga filter dlu peminjamnya pdhal nama ksp namanya negatif berita lokal ama nasional,1.0
101,main reksadana ga dil,1.0
102,hallo coba portofolio laporan keuangan transparan ada udah jatuh tempo terbayarkan ada alasan fitur buka data lender ga bisa dibuka merekomendasikan keorang keluhan usernya tdk ditanggapi,1.0
103,terima kasih informasi nya min,1.0
104,mantap,0.0
105,bisa mengambil produk pinjaman koin bisnis ada penghasilan min,0.0
106,min bisa mengambil pinjaman ada penghasilan,0.0
107,dibutuhkan persiapan matang ya emang sih ngumpulin modal nggak mudah ada tips bisa coba pasangan modal nikah tips menabung persiapan nikah dilansir,0.0
108,pandemi maenan asetku worth it,0.0
109,sinergi,0.0
110,asetku cover persen ya mas,0.0
111,thank you lho infonya cari invest pakai modalnya nggak mesti uangme coba uangme,0.0
112,nanya kl permohonan pinjaman sudah dlm antrian brp lg k proses tawaran kontrak proses pendanaan pencairan,1.0
113,nih gimana sih pengajuan dah pemeriksaan dokumen ga gini dapet email msh antrean ko bgt,0.0
114,gak gak berani,0.0
115,moga acc tambahin modal,0.0
116,peer to peer lending elo rentenir digital dimana platform asetku bertindak perantara makelar prinsip dasar investasi high risk high income potensi platform ancur duit mengendap,0.0
117,klo dipake modal usaha sih bs pake,0.0
118,peer to peer landing jid ky igrow investree gitu,0.0
119,udah invest hr ngga mengecewakan npl portfolio pribadi,0.0
120,so far uangme bagus aman nyoba,0.0
121,teh kalo ga salah mesti nunggu kekumpul yah si dana nya bisa diputerin,1.0
122,terima kasih dukunganmu indonesia bisa membangun test kit covid,0.0
123,terima kasih dukunganmu indonesia bisa membangun test kit covid,0.0
124,mayan anjir alias suka riba,0.0
125,ya kirimkan email inbox ya,1.0
126,adakah kebijakan penangguhan pembayaran,0.0
127,email income maret email januari februari data bisa disediakan kw,0.0
128,admin,0.0
129,terima kasih dukunganmu testing indonesia bisa membangun test kit covid,0.0
130,blum beres dmnya,0.0
131,baca dm min,1.0
132,hai menerima tlp duga milik ada nama mutsaqqoful fikri,0.0
133,trimakasih tertipu,0.0
134,paper id dg institusi finansial terkemuka indonesia modalku investree produk terbaru paper finance solution bikinnagihdarirumah,0.0
135,paper id institusi finansial terkemuka indonesia modalku investree produk terbaru paper finance solution bikinnagihdarirumah,0.0
136,paper id institusi finansial terkemuka indonesia modalku investree produk terbaru paper finance solution bikinnagihdarirumah,0.0
137,paper id institusi finansial terkemuka indonesia modalku investree produk terbaru paper finance solution bikinnagihdarirumah,0.0
138,eh iyaa paper id bekerjasama dg institusi finansial terkemuka indonesia lho modalku investree utk produk terbaru paper financial solution bikinnagihdarirumah,0.0
139,paper id berkerja institusi finansial terkenal loh modalku investree membantu butuh tambahan modal usaha bisa nih tenang bunganya normal gak mencekik bikinnagihdarirumah,0.0
140,ada kalah menarik produk terbaru paper id paper finance solution bekerjasam institusi finasial terkemuka modalku investree bikinnagihdarirumah,0.0
141,paper id bekerjasama fintech modalku investree produk terbaru paper finance solution bikinnagihdarirumah,0.0
142,berperang modal tenang paper id institusi financial terkemuka indonesia modalku tambahan dana bunga arus kas usaha lancar bikinnagihdarirumah,0.0
143,apps finance modalku investree produk terbaru paper finance solution bikinnagihdarirumah,0.0
144,mengirim email kemarin mngenai id produk peminjam tolong responnya dongg,0.0
145,dialoka,0.0
146,pengajuan proses ya ujung ditolak mohon diperbaiki biar gak php,1.0
147,serasa sangkar emas ya,0.0
148,iya nih udah minggu dirumah mbak,0.0
149,tolong cek dm ya,1.0
150,tolong cek dm ya,1.0
151,tolong cek dm ya,1.0
152,iya teh dirumah udah minggu nyetock belanjaan,0.0
153,iya sudah patuhi penyebaran virus tdk parah,0.0
154,ada resikonya hidup pilihan,1.0
155,bilang mba tegur lapor rt,1.0
156,yoiii,0.0
157,iya teh jurusaku masuknya fakultas hukum jd lulus gelarnya sh,0.0
158,oalah,0.0
159,anak fakultas hukum ada gerhana matahari postingnya foto gerhana wkwk,0.0
160,universitas semarang teh loh undip,0.0
161,undip fakultas ekonomi jurusan bisnis management usm blm tau,0.0
162,otw,0.0
163,pokoe ng urusan akutansi kr management gaiso bedake,0.0
164,mantaps eh dirumah mati gaya ya kak,1.0
165,teteh ud rumah udh bberapa pdhl gatel pen nge mall,0.0
166,managemen teh,0.0
167,lebay kak ya,1.0
168,kota denganku berbeda kampus,0.0
169,keluyuran ya teh,0.0
170,iyo meneh dosen seng nek ngetik mbingungi menungso,0.0
171,kesel rebahan teros marakke penyakitan,0.0
172,daku rumah teh sudah wfh minggu,0.0
173,iya teh dirumahaja nahan utk ga pergi kalo gak biar wabah cepat,0.0
174,situasi ikuti peraturan ada,0.0
175,iya mending dirumahaja berkreativitas istirahat,0.0
176,gak pembawa virus ya suspect ada bergejala,0.0
177,ok,0.0
178,bener beruntung bisa kerja belajar rumah tinggal disuruh diem disuruh maju medan perang,0.0
179,mbak semoga terjaga wabah ya aamiin,1.0
180,iya semoga lekas mimin galau nih,0.0
181,iya mari lanjutkan budaya,0.0
182,namaste hihi,0.0
183,salut,0.0
184,kerennyaaa,0.0
185,produktif rumah,0.0
186,halo min nanya login susah ya otp masuk sms registrasi upload ktp gagal berulang kali coba,1.0
187,mari dukung sebarkan,0.0
188,kudu sukseskan pemutusan mata rantai corona,0.0
189,mari dirumah,0.0
190,susahnya coba berdiam dirumah semoga bisa cepat bikin billboardnya,0.0
191,mari dirumah thanks udah bikin billboard gede,0.0
192,ayo dukung hentikan penyebaran virus corona rumah,0.0
193,kak min setuju sudah ngingetin,0.0
194,ayok dukung pemerintah tinggal dirumah keras kepala,0.0
195,heraaaannn ada orang berkumpul ngga takut terinfeksisama,1.0
196,kudu anjuran pemerintah rumah ngga ada urusan,0.0
197,ok terima kasih,1.0
198,ayooo penduduk indonesia ikuti anjuran pemerintah sudah lhoooo ngingatin,0.0
199,ya sudah ayuk kaum rebahan ikuti sesuai instruksi pemerintah bersyukur,0.0
200,masyarakat kudu bijak tinggal dirumah udah dianjurin susahnya sih heran,0.0
201,sudah gini emamg kudu ngucapin thanks ama,0.0
202,ga bosen rumah besok udah bosen rencananya bergaya ootd poto poto,0.0
203,kalo liat produk udah danai sih,0.0
204,email tweet dibales nih,0.0
205,sekreatif,0.0
206,emang kreatif patut apresiasi positif pokoknya btw dirumahaja amam skrg mah,0.0
207,kasitau sav,0.0
208,sav,0.0
209,abis lebaran kak konsernya,0.0
210,sip,0.0
211,heeh w bilangin ibonk,0.0
212,aamiin ya allah,1.0
213,ndang pasang kun ngarep omah,0.0
214,jgn bandel,0.0
215,hehe,0.0
216,anak rumahan,0.0
217,dirumah jomblo,0.0
218,mantep bgttt sat,0.0
219,salut liat billboard menghimbau masyarakat dirumahaja jaga panik menghindari terinveksinya virus corona gerakansocialdistancing,0.0
220,iya billboard pas,0.0
221,mw kak,0.0
222,ekhem,0.0
223,emang bener dirunahaja,0.0
224,iya diviralin kak mengedukasi masyarakat cinta deh semoga brand ikutan yaaa,0.0
225,kaya,0.0
226,up,0.0
227,up,0.0
228,kayak gini bang kudu mengedukasi masyarakat awam masyarakat mengerti semoga mengerti sosialisasi,0.0
229,typo nih,0.0
230,keren nih billboardnya dirumah gerakan social distancing meredam persebaran virus corona mantuuullss,0.0
231,jgn kelayapan ben,0.0
232,aamiin semoga mengikuti langkah mengedukasi warga,0.0
233,jaga kesehatan kak,0.0
234,efektif bnget kak semoga corona indonesia berkurang,0.0
235,iya dek,0.0
236,stay at home mas,0.0
237,seminggu kemanapun seminggu dirumahaja,0.0
238,semangat sahabat kerjasama memutus rantai covid,0.0
239,ikuti aturan pemerintah,0.0
240,bener dek,0.0
241,lanjutkan,0.0
242,ok kak,0.0
243,baikkk,0.0
244,bener nih teh stay safe yaaa,0.0
245,iya kak,0.0
246,iya dir,0.0
247,nahh bener nih billboard patut contoh brand brand orang orang himbaun dirumahaja masyarakat bersosialisasi media sosial menyadarkan gerakansocialdistancing,0.0
248,aamiin,0.0
249,pahlawan umat manusia,0.0
250,oke ntr mlm klw gak lupa,1.0
251,jaga kesehatan ya,0.0
252,bnr bgt,0.0
253,sih yess sm biar luas jangkauan gerakansosialdistancing,0.0
254,iya seriusan membantu,0.0
255,berjarak yah,0.0
256,stysafe kak,0.0
257,stysafe kak,0.0
258,sty safe kak dukung,0.0
259,sipp,0.0
260,iya yul stay safe ya,0.0
261,iya berguna ya,0.0
262,oke,0.0
